not mapped	-	replaced by/mapped	-	Mapped to	-	Remarks (April 2012)
	=	P14923	=	3728	=	
	=	P15018	=	3976	=	
	=	P15036	=	2114	=	
	=	P15056	=	673	=	
	=	P15090	=	2167	=	
	=	P15144	=	290	=	
	=	P15151	=	5817	=	
	=	P15153	=	5880	=	
	=	P15172	=	4654	=	
	=	P15173	=	4656	=	
	=	P15260	=	3459	=	
	=	P15311	=	7430	=	
	=	P15336	=	1386	=	
	=	P15391	=	930	=	
	=	P15407	=	8061	=	
	=	P15408	=	2355	=	
	=	P15498	=	7409	=	
	=	P15509	=	1438	=	
	=	P15514	=	374	=	
	=	P15514	=	727738	=	
	=	P15531	=	4830	=	
	=	P15559	=	1728	=	
	=	P15692	=	7422	=	
	=	P15882	=	1123	=	
	=	P15884	=	6925	=	
	=	P15917	=	1158731	=	
	=	P15917	=	2820148	=	
	=	P15917	=	3361711	=	
	=	P15923	=	6929	=	
	=	P15924	=	1832	=	
	=	P15927	=	6118	=	
	=	P15976	=	2623	=	
	=	P16050	=	246	=	
	=	P16070	=	960	=	
	=	P16104	=	3014	=	
	=	P16109	=	6403	=	
	=	P16144	=	3691	=	
	=	P16220	=	1385	=	
	=	P16234	=	5156	=	
	=	P16284	=	5175	=	
	=	P16298	=	5532	=	
	=	P16333	=	4690	=	
	=	P16410	=	1493	=	
	=	P16471	=	5618	=	
	=	P16473	=	7253	=	
	=	P16499	=	5145	=	
	=	P16520	=	2784	=	
	=	P16581	=	6401	=	
	=	P16591	=	2241	=	
	=	P16870	=	1363	=	
	=	P16885	=	5336	=	
	=	P16949	=	3925	=	
	=	P17017	=	7561	=	
	=	P17081	=	23433	=	
	=	P17096	=	3159	=	
	=	P17181	=	3454	=	
	=	P17252	=	5578	=	
	=	P17275	=	3726	=	
	=	P17301	=	3673	=	
	=	P17302	=	2697	=	
	=	P17405	=	6609	=	
	=	P17480	=	7343	=	
	=	P17535	=	3727	=	
	=	P17544	=	11016	=	
